objectid,filename,title,creator,date_range,description,subject,location,latitude,longitude,source,museum_link,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,head,type,applied gear,kletter
bad_0001,1-B2018.1.1.jpg,B2018.1.1,Judah,800-586 BCE,Handmade JPF head fragment with paint,anthropomorphic;figurine;handmade;eyes;headgear;sidelocks;paint,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/ff6a93aa-9517-41bc-aa96-906614540335,B2018.1.1,"Image;StillImage, Image;MovingImage",image/jpeg; rti,,,,,,,,,,Y,P,Y,135
bad_0002,2-B2012.1.140.jpg,B2012.1.140,Judah,800-586 BCE,Complete figure; pinched face. TEN I 246; 273; 300; Pl 86:14.,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/d28c5da3-8c2b-454d-a4a7-828148351867,B2012.1.140,Image;StillImage,image/jpeg,,,,,,,,,,Y,P,N,126
bad_0003,3-B2012.1.76.jpg,B2012.1.76,Judah,800-586 BCE,Pinched face; turban. TEN I 246; 273; 300; Pl 86:2.,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/bef824e5-06c0-437d-bcb3-453879949228,B2012.1.76,Image;StillImage,image/jpeg,,,,,,,,,,Y,P,Y,134
bad_0004,4-B2012.1.88.jpg,B2012.1.88,Judah,800-586 BCE,Pinched face; crude. TEN I 246; 273; 300; Pl 86:10. ~collar?,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/media/690a5c8a-c00d-4591-aad1-3e21ade15dd2,B2012.1.88,Image;StillImage,image/jpeg,,,,,,,,,,Y,P,N,129
bad_0005,5-B2012.1.98.jpg,B2012.1.98,Judah,800-586 BCE,Pinched face; head and neck,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/media/b4af6df2-3559-49c6-bed2-98b2e143dc09,B2012.1.98,Image;StillImage,image/jpeg,,,,,,,,,,Y,P,N,497
bad_0006,6-B2012.1.46.jpg,B2012.1.46,Judah,800-586 BCE,Torso. Deep crevice for dowel,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/b07b1068-7e53-47bd-bd34-075163444450,B2012.1.46,Image;StillImage,image/jpeg,,,,,,,,,,N,B,N/A,
bad_0007,7-B2012.1.74.jpg,B2012.1.74,Judah,800-586 BCE,Molded head with peg. TEN I 246; 273; 299. ~Pl 85:12,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/media/d225b7cf-adc0-4c54-8f2e-cc02f0b76540,B2012.1.74,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,152
bad_0008,8-B2018.1.2.jpg,B2018.1.2,Judah,800-586 BCE,Molded head. Betty Boop. TEN I 246; 273; 299. ~exhibit 2815 ~pl 85:10,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/bb7da04b-558b-4bda-99f2-484472751259,B2018.1.2,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,151
bad_0009,9-B2012.1.53.jpg,B2012.1.53,Judah,800-586 BCE,Molded head. TEN I 246; 273; 299. ~pl 85:8,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/2dc72466-faa2-4728-8fbe-415270730500,B2012.1.53,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,153
bad_0010,10-B2012.1.69.jpg,B2012.1.69,Judah,800-586 BCE,Molded head. TEN I 246; 273; 300. ~Pl 85:17,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/5fedb1c3-ad8e-42df-b688-191417333680,B2012.1.69,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,167
bad_0011,11-B2012.1.75.jpg,B2012.1.75,Judah,800-586 BCE,Molded head neck. TEN I 246; 273; 299. ~Pl 85:7,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/d9567247-5d1f-4ad0-be7b-499621672708,B2012.1.75,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,154
bad_0012,12-B2012.1.84.jpg,B2012.1.84,Judah,800-586 BCE,Molded head. TEN I 246; 273; 299. ~Pl 85:11,,Ramallah,31.9038,35.2034,Bade Museum,https://opencontext.org/subjects/172adae6-558c-43ab-8881-011227281534,B2012.1.84,Image;StillImage,image/jpeg,,,,,,,,,,Y,M,N,148